Application name,Purpose,Department,Owner,NDA on File,Authentication Method,Risk,Notes,Soc2,Renewal Date,cost,number of users,Expiration Date,SAML_capable,Has_PII,Application Risk Assesment,Contract
1Password,Password Manager,All,michael,,Username/Password,High,Duo - 2FA,,,,,,,,,
Adobe,Miscellaneous,Legal,Tho,,Username/Password,,,,,,,,,,,
Aevy,sourcing and contact info retrieval,Recruiting,Mark/Bryan,,,,,,,,,,,,,
Airtable (In purchase process),Project Management,Compliance,,,,,,,,,,,,,,
Asana,ALM ,?,?,,,,,,,,,,,,,
Atlassian Confluence,Wiki - Intranet,All,michael ,,Google Oauth,,Atlassian Access upgrade required,,,,,,,,,
Atlassian Jira,Project and Sprint Planning,All,michael ,,Google Oauth,,Atlassian Access upgrade required,,,,,,,,,
Atlassian Service Desk,Service Desk,IT,michael ,,Google Oauth,,Atlassian Access upgrade required,,,,,,,,,
AWS,,Engineering,"kyle, michael",,Username/Password,High,TBD - Toxic Pair - SOD - Do not move to IT,,,,,,,,,
Bamboo,HRIS System,All,Claire,Yes,Okta,High,,,,,,,,,,
Bill.com,AP for LLC (USA),Finance,maria,,Username/Password,,,,,,,,,,,
Box,Corporate File Sharing with Securituy & Compliance Controls,Legal ,kyle,No,Okta,,,,,,,,,,,
Brex.com,Credit Card,Finance,maria,,Username/Password,,,,,,,,,,,
Cloudflare,"WAF, DNS",IT,"michael, Hanna",,,High,,,,,,,,,,
Contentful,Holds content pulled by github to publish to netlfiy for dfinity.org,Comms/Marketing,"Artia, kyle, Stanely, michael",,,,,,,,,,,,,
Copper (In purchase process),,Business Development,Tanya (and Liz?),Yes,,,,SOC2 report is out of date,,,,,,,,
Crowdstrike,End point protection ,IT,Hanna,,Username/Password,,,,,,,,,,,
Docker,Container ,Engineering,,,,,,,,,,,,,,
Docusign ,e-signature platform,"Legal, HR, Onboarding","michael, Juliana, Tho",,Okta,High,Setup Corporate Account for different business units,,,,,,,,,
Duo,Two Factor Authorization,All,michael,,Username/Password,High,Segregation fo Duties.,,,,,,,,,
Egencia,Travel,All,grace,,Username/Password,,,,,,,,,,,
Envoy,Office Checkin/NDA,Workplace,grace,,Okta,,,,,,,,,,,
Expensify,Expensify,Finance,maria,,Username/Password,High,,,,,,,,,,
Facebook,,Comms/Marketing,Lee / Hunte,,,,,,,,,,,,,
Figma,"Collabrative design tool, www.figma.com",Engineering,Stanley,,U/P,,,,,,,,,,,
Followerwonk,,,,,,,,,,,,,,,,
Gem (Formerly Zensourcer),Drip-campaign email outreach,Recruiting,Ryan,,,,,,,,,,,,,
Github,Code Repository,Engineering,,,,,We need to test if personal identies still work,,,,,,,,,
Google Analytics,Search Engine Optimization,All,michael,,Google,,,,,,,,,,,
Google Apps,Email and Document Management,All,michael,,"Okta * in process, username/password",,,,,,,,,,,
Greenhouse,ATS,Recruiting,Ryan,,Username/Password or Google Oauth,,,,,,,,,,,
HelloSign,Deprecated,Ops,Artia/Liz,,Username/Password,,Deprecated,,,,,,,,,
Intrax?,,,,,,,,,,,,,,,,
